author,0-author,1|   set([u'hep-th', u'hep-lat'])   0
author,575-author,428|   set([u'hep-th'])   0
author,575-author,429|   set([u'hep-th'])   0
author,575-author,430|   set([u'hep-th'])   0
author,576-author,577|   set([u'hep-th'])   0
author,576-author,578|   set([u'hep-th', u'alg-geom', u'math.DG', u'dg-ga', u'math.AG'])   0
author,579-author,580|   set([u'hep-th'])   0
author,546-author,160|   set([u'hep-th'])   0
author,458-author,19|   set([u'cond-mat', u'hep-th'])   0
author,458-author,581|   set([u'hep-th'])   0
author,582-author,138|   set([u'cond-mat', u'hep-th'])   0
author,582-author,583|   set([u'cond-mat', u'hep-th'])   0
author,241-author,383|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,584-author,38|   set([u'hep-th', u'hep-ph'])   0
author,585-author,586|   set([u'hep-th', u'gr-qc', u'hep-ph'])   0
author,587-author,588|   set([u'astro-ph', u'hep-th', u'hep-ph'])   0
author,587-author,589|   set([u'astro-ph', u'hep-th', u'hep-ph'])   0
author,590-author,591|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,438-author,592|   set([u'hep-th'])   0
author,401-author,400|   set([u'hep-th'])   0
author,401-author,593|   set([u'hep-th'])   0
author,594-author,595|   set([u'hep-th'])   0
author,596-author,597|   set([u'hep-th', u'gr-qc'])   0
author,596-author,572|   set([u'hep-th', u'gr-qc'])   0
author,598-author,599|   set([u'cond-mat', u'hep-th'])   0
author,598-author,600|   set([u'hep-th', u'hep-ph'])   0
author,598-author,601|   set([u'cond-mat', u'hep-th'])   0
author,602-author,418|   set([u'hep-th'])   0
author,603-author,604|   set([u'nlin.SI', u'cond-mat', u'hep-th', u'solv-int'])   0
author,603-author,605|   set([u'hep-th'])   0
author,599-author,601|   set([u'hep-th'])   0
author,215-author,606|   set([u'nlin.SI', u'hep-th', u'solv-int'])   0
author,215-author,33|   set([u'hep-th'])   0
author,607-author,422|   set([u'hep-th'])   0
author,607-author,608|   set([u'hep-th'])   0
author,609-author,119|   set([u'hep-th'])   0
author,609-author,610|   set([u'hep-th'])   0
author,609-author,191|   set([u'hep-th'])   0
author,609-author,120|   set([u'hep-th'])   0
author,609-author,199|   set([u'hep-th'])   0
author,131-author,130|   set([u'hep-th'])   0
author,131-author,611|   set([u'hep-th'])   0
author,131-author,612|   set([u'hep-th'])   0
author,613-author,375|   set([u'hep-th'])   0
author,613-author,614|   set([u'hep-th'])   0
author,613-author,615|   set([u'hep-th'])   0
author,613-author,616|   set([u'hep-th'])   0
author,333-author,617|   set([u'hep-th', u'math.AG'])   0
author,618-author,619|   set([u'hep-th'])   0
author,618-author,620|   set([u'hep-th'])   0
author,621-author,343|   set([u'hep-th', u'gr-qc'])   0
author,615-author,614|   set([u'hep-th'])   0
author,615-author,172|   set([u'hep-th'])   0
author,615-author,616|   set([u'hep-th'])   0
author,615-author,375|   set([u'hep-th'])   0
author,622-author,623|   set([u'hep-th'])   0
author,622-author,539|   set([u'hep-th'])   0
author,72-author,73|   set([u'hep-th', u'hep-ph'])   0
author,624-author,625|   set([u'hep-th'])   0
author,626-author,627|   set([u'hep-th', u'hep-lat'])   0
author,626-author,364|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,266-author,112|   set([u'hep-th'])   0
author,266-author,268|   set([u'hep-th'])   0
author,610-author,628|   set([u'hep-th'])   0
author,610-author,191|   set([u'hep-th'])   0
author,610-author,199|   set([u'hep-th'])   0
author,232-author,629|   set([u'hep-th'])   0
author,504-author,159|   set([u'hep-th'])   0
author,504-author,502|   set([u'hep-th'])   0
author,504-author,630|   set([u'hep-th'])   0
author,504-author,631|   set([u'hep-th'])   0
author,504-author,503|   set([u'hep-th'])   0
author,504-author,41|   set([u'hep-th'])   0
author,44-author,43|   set([u'hep-th'])   0
author,632-author,633|   set([u'hep-th', u'hep-ph'])   0
author,490-author,446|   set([u'hep-th', u'hep-lat'])   0
author,490-author,445|   set([u'hep-th', u'hep-lat'])   0
author,280-author,282|   set([u'astro-ph', u'hep-th', u'hep-ph'])   0
author,555-author,529|   set([u'hep-th'])   0
author,325-author,326|   set([u'hep-th'])   0
author,325-author,634|   set([u'hep-th', u'math.QA', u'q-alg'])   0
author,635-author,636|   set([u'hep-th', u'hep-lat'])   0
author,635-author,497|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,344-author,528|   set([u'hep-th'])   0
author,637-author,198|   set([u'hep-th'])   0
author,638-author,639|   set([u'hep-th', u'hep-lat', u'hep-ph'])   0
author,638-author,640|   set([u'hep-th', u'hep-lat', u'hep-ph'])   0
author,73-author,403|   set([u'hep-th', u'hep-ph'])   0
author,73-author,641|   set([u'hep-th', u'hep-ph'])   0
author,404-author,403|   set([u'hep-th'])   0
author,404-author,405|   set([u'hep-th'])   0
author,528-author,345|   set([u'hep-th'])   0
author,528-author,529|   set([u'hep-th'])   0
author,528-author,374|   set([u'hep-th'])   0
author,642-author,643|   set([u'hep-th', u'hep-ph'])   0
author,264-author,644|   set([u'hep-th'])   0
author,130-author,645|   set([u'hep-th'])   0
author,130-author,133|   set([u'hep-th'])   0
author,306-author,646|   set([u'hep-th', u'gr-qc'])   0
author,306-author,162|   set([u'hep-th'])   0
author,306-author,17|   set([u'hep-th', u'gr-qc'])   0
author,306-author,349|   set([u'hep-th', u'gr-qc'])   0
author,206-author,406|   set([u'hep-th', u'gr-qc'])   0
author,647-author,648|   set([u'hep-th'])   0
author,649-author,650|   set([u'hep-th', u'gr-qc'])   0
author,25-author,651|   set([u'hep-th'])   0
author,25-author,652|   set([u'hep-th', u'gr-qc'])   0
author,63-author,478|   set([u'hep-th'])   0
author,63-author,62|   set([u'hep-th'])   0
author,63-author,564|   set([u'hep-th'])   0
author,63-author,164|   set([u'hep-th'])   0
author,63-author,653|   set([u'hep-th'])   0
author,654-author,655|   set([u'hep-th', u'hep-ph'])   0
author,654-author,656|   set([u'cond-mat', u'hep-th'])   0
author,654-author,657|   set([u'hep-th', u'hep-ph'])   0
author,654-author,658|   set([u'hep-th', u'hep-ph'])   0
author,659-author,660|   set([u'hep-th'])   0
author,258-author,259|   set([u'cond-mat', u'hep-th', u'quant-ph', u'supr-con'])   0
author,661-author,662|   set([u'hep-th'])   0
author,222-author,14|   set([u'hep-th'])   0
author,222-author,223|   set([u'hep-th', u'hep-ph'])   0
author,663-author,221|   set([u'hep-th'])   0
author,503-author,664|   set([u'hep-th'])   0
author,503-author,631|   set([u'hep-th'])   0
author,503-author,665|   set([u'hep-th'])   0
author,106-author,105|   set([u'hep-th'])   0
author,106-author,666|   set([u'hep-th'])   0
author,315-author,312|   set([u'hep-th', u'astro-ph', u'hep-ph'])   0
author,315-author,313|   set([u'hep-th', u'astro-ph', u'hep-ph'])   0
author,477-author,405|   set([u'hep-th', u'math.AG'])   0
author,461-author,462|   set([u'hep-th', u'math.QA'])   0
author,461-author,356|   set([u'cond-mat', u'hep-th', u'q-alg', u'math.QA'])   0
author,405-author,667|   set([u'hep-th', u'alg-geom', u'math.AG'])   0
author,668-author,669|   set([u'hep-th', u'gr-qc'])   0
author,110-author,670|   set([u'hep-th'])   0
author,110-author,671|   set([u'hep-th', u'astro-ph', u'gr-qc'])   0
author,110-author,672|   set([u'hep-th'])   0
author,110-author,673|   set([u'hep-th', u'astro-ph', u'gr-qc'])   0
author,110-author,674|   set([u'hep-th'])   0
author,442-author,675|   set([u'hep-th', u'astro-ph'])   0
author,442-author,676|   set([u'hep-th'])   0
author,677-author,678|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,679-author,680|   set([u'hep-th', u'hep-ph'])   0
author,378-author,164|   set([u'hep-th'])   0
author,378-author,681|   set([u'hep-th'])   0
author,682-author,683|   set([u'hep-th'])   0
author,684-author,685|   set([u'hep-th'])   0
author,686-author,687|   set([u'hep-th', u'hep-ph'])   0
author,317-author,179|   set([u'cond-mat', u'hep-th'])   0
author,688-author,628|   set([u'hep-th', u'gr-qc'])   0
author,688-author,199|   set([u'hep-th', u'gr-qc'])   0
author,689-author,690|   set([u'hep-th'])   0
author,614-author,691|   set([u'hep-th'])   0
author,692-author,693|   set([u'hep-th', u'gr-qc'])   0
author,363-author,627|   set([u'hep-th', u'hep-lat'])   0
author,694-author,19|   set([u'cond-mat', u'hep-th'])   0
author,694-author,380|   set([u'cond-mat', u'hep-th'])   0
author,273-author,695|   set([u'hep-th'])   0
author,273-author,696|   set([u'hep-th'])   0
author,556-author,697|   set([u'hep-th'])   0
author,556-author,698|   set([u'hep-th'])   0
author,556-author,699|   set([u'hep-th'])   0
author,556-author,700|   set([u'hep-th', u'gr-qc'])   0
author,701-author,702|   set([u'hep-th'])   0
author,268-author,703|   set([u'hep-th', u'hep-lat', u'hep-ph'])   0
author,202-author,203|   set([u'hep-th', u'hep-ph'])   0
author,704-author,705|   set([u'hep-th', u'gr-qc'])   0
author,704-author,98|   set([u'hep-th', u'gr-qc'])   0
author,706-author,707|   set([u'hep-th'])   0
author,706-author,708|   set([u'cond-mat', u'hep-th'])   0
author,706-author,709|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,710-author,711|   set([u'hep-th'])   0
author,17-author,199|   set([u'hep-th', u'gr-qc'])   0
author,712-author,713|   set([u'hep-th', u'gr-qc'])   0
author,712-author,542|   set([u'hep-th', u'gr-qc'])   0
author,583-author,138|   set([u'cond-mat', u'hep-th'])   0
author,583-author,714|   set([u'hep-th', u'cond-mat.mes-hall'])   0
author,715-author,716|   set([u'hep-th', u'hep-lat'])   0
author,715-author,717|   set([u'cond-mat', u'hep-th'])   0
author,233-author,657|   set([u'hep-th'])   0
author,233-author,236|   set([u'hep-th'])   0
author,233-author,658|   set([u'hep-th'])   0
author,698-author,697|   set([u'hep-th'])   0
author,698-author,163|   set([u'hep-th'])   0
author,698-author,270|   set([u'hep-th'])   0
author,76-author,718|   set([u'hep-th'])   0
author,76-author,719|   set([u'hep-th'])   0
author,76-author,717|   set([u'hep-th'])   0
author,433-author,432|   set([u'hep-th', u'hep-ph'])   0
author,521-author,328|   set([u'hep-th'])   0
author,521-author,700|   set([u'hep-th'])   0
author,292-author,720|   set([u'hep-th'])   0
author,292-author,291|   set([u'hep-th', u'math.QA', u'q-alg'])   0
author,292-author,33|   set([u'hep-th'])   0
author,721-author,722|   set([u'hep-th'])   0
author,721-author,723|   set([u'cond-mat', u'hep-th'])   0
author,721-author,724|   set([u'cond-mat', u'hep-th'])   0
author,721-author,725|   set([u'hep-th'])   0
author,721-author,726|   set([u'cond-mat', u'hep-th'])   0
author,721-author,65|   set([u'cond-mat', u'hep-th'])   0
author,727-author,728|   set([u'hep-th'])   0
author,727-author,729|   set([u'hep-th'])   0
author,730-author,731|   set([u'hep-th'])   0
author,730-author,171|   set([u'hep-th'])   0
author,732-author,733|   set([u'hep-th'])   0
author,734-author,341|   set([u'hep-th'])   0
author,734-author,91|   set([u'hep-th', u'gr-qc'])   0
author,735-author,736|   set([u'hep-th', u'gr-qc'])   0
author,735-author,550|   set([u'hep-th', u'astro-ph', u'gr-qc'])   0
author,337-author,339|   set([u'hep-th', u'astro-ph', u'hep-ph', u'gr-qc'])   0
author,337-author,737|   set([u'hep-th', u'astro-ph', u'hep-ph', u'gr-qc'])   0
author,337-author,340|   set([u'hep-th', u'astro-ph', u'hep-ph', u'gr-qc'])   0
author,337-author,132|   set([u'hep-th', u'gr-qc'])   0
author,532-author,738|   set([u'hep-th'])   0
author,532-author,739|   set([u'hep-th'])   0
author,532-author,334|   set([u'hep-th', u'math.QA'])   0
author,740-author,741|   set([u'hep-th'])   0
author,740-author,742|   set([u'hep-th'])   0
author,597-author,572|   set([u'hep-th', u'gr-qc'])   0
author,597-author,743|   set([u'cond-mat', u'hep-th', u'gr-qc'])   0
author,597-author,744|   set([u'hep-th', u'gr-qc'])   0
author,597-author,745|   set([u'hep-th', u'gr-qc'])   0
author,667-author,163|   set([u'hep-th'])   0
author,667-author,479|   set([u'hep-th'])   0
author,667-author,64|   set([u'hep-th'])   0
author,746-author,41|   set([u'hep-th'])   0
author,541-author,542|   set([u'hep-th', u'gr-qc'])   0
author,157-author,492|   set([u'hep-th', u'hep-lat'])   0
author,747-author,748|   set([u'hep-th', u'hep-lat', u'hep-ph'])   0
author,749-author,125|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,750-author,1|   set([u'hep-th'])   0
author,627-author,492|   set([u'hep-th', u'hep-lat'])   0
author,167-author,270|   set([u'hep-th'])   0
author,167-author,751|   set([u'hep-th'])   0
author,167-author,476|   set([u'hep-th'])   0
author,167-author,726|   set([u'hep-th'])   0
author,752-author,753|   set([u'hep-th'])   0
author,752-author,708|   set([u'hep-th'])   0
author,652-author,754|   set([u'hep-th', u'math.FA', u'gr-qc', u'funct-an'])   0
author,652-author,612|   set([u'hep-th'])   0
author,313-author,312|   set([u'hep-th', u'astro-ph', u'hep-ph'])   0
author,755-author,756|   set([u'cond-mat', u'hep-th'])   0
author,729-author,757|   set([u'cond-mat', u'hep-th'])   0
author,341-author,338|   set([u'hep-th'])   0
author,341-author,629|   set([u'hep-th'])   0
author,341-author,343|   set([u'hep-th'])   0
author,341-author,41|   set([u'hep-th'])   0
author,758-author,741|   set([u'hep-th'])   0
author,759-author,588|   set([u'hep-th', u'hep-ph'])   0
author,760-author,761|   set([u'hep-th'])   0
author,19-author,762|   set([u'hep-th'])   0
author,19-author,380|   set([u'cond-mat', u'hep-th'])   0
author,496-author,492|   set([u'hep-th', u'hep-lat'])   0
author,523-author,327|   set([u'hep-th'])   0
author,523-author,328|   set([u'hep-th'])   0
author,523-author,522|   set([u'hep-th'])   0
author,763-author,764|   set([u'hep-th'])   0
author,763-author,765|   set([u'hep-th'])   0
author,669-author,92|   set([u'hep-th'])   0
author,766-author,133|   set([u'hep-th'])   0
author,766-author,767|   set([u'hep-th'])   0
author,768-author,769|   set([u'hep-th'])   0
author,768-author,719|   set([u'hep-th'])   0
author,629-author,91|   set([u'hep-th', u'gr-qc'])   0
author,629-author,770|   set([u'hep-th', u'hep-ph'])   0
author,629-author,737|   set([u'hep-th'])   0
author,771-author,22|   set([u'hep-th', u'gr-qc'])   0
author,772-author,719|   set([u'hep-th'])   0
author,772-author,769|   set([u'hep-th'])   0
author,772-author,717|   set([u'hep-th'])   0
author,529-author,267|   set([u'hep-th'])   0
author,529-author,531|   set([u'hep-th'])   0
author,302-author,301|   set([u'hep-th', u'quant-ph', u'hep-ph'])   0
author,484-author,516|   set([u'hep-th'])   0
author,33-author,216|   set([u'hep-th'])   0
author,773-author,185|   set([u'hep-th', u'gr-qc'])   0
author,774-author,314|   set([u'hep-th', u'hep-ph'])   0
author,774-author,664|   set([u'hep-th', u'hep-ph'])   0
author,774-author,775|   set([u'hep-th'])   0
author,774-author,340|   set([u'hep-th', u'hep-ph'])   0
author,347-author,776|   set([u'hep-th'])   0
author,347-author,348|   set([u'hep-th'])   0
author,492-author,777|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,492-author,593|   set([u'hep-th'])   0
author,778-author,779|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,778-author,780|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,566-author,781|   set([u'cond-mat', u'hep-th'])   0
author,566-author,782|   set([u'hep-th'])   0
author,783-author,163|   set([u'hep-th'])   0
author,783-author,62|   set([u'hep-th'])   0
author,784-author,785|   set([u'hep-th'])   0
author,114-author,786|   set([u'hep-th', u'quant-ph'])   0
author,114-author,787|   set([u'hep-th', u'quant-ph'])   0
author,114-author,788|   set([u'hep-th', u'quant-ph'])   0
author,789-author,30|   set([u'hep-th'])   0
author,789-author,790|   set([u'hep-th'])   0
author,789-author,791|   set([u'hep-th'])   0
author,128-author,129|   set([u'hep-th'])   0
author,128-author,792|   set([u'hep-th'])   0
author,793-author,794|   set([u'hep-th', u'hep-ph'])   0
author,793-author,343|   set([u'hep-th', u'gr-qc'])   0
author,793-author,361|   set([u'hep-th', u'hep-ph'])   0
author,795-author,796|   set([u'hep-th', u'hep-lat'])   0
author,795-author,797|   set([u'hep-th', u'hep-lat'])   0
author,249-author,798|   set([u'hep-th'])   0
author,276-author,562|   set([u'hep-th'])   0
author,276-author,422|   set([u'hep-th'])   0
author,799-author,800|   set([u'hep-th', u'nucl-th'])   0
author,765-author,764|   set([u'hep-th'])   0
author,801-author,802|   set([u'hep-th'])   0
author,803-author,779|   set([u'hep-th'])   0
author,716-author,804|   set([u'hep-th', u'hep-lat'])   0
author,328-author,162|   set([u'hep-th'])   0
author,328-author,522|   set([u'hep-th'])   0
author,328-author,700|   set([u'hep-th'])   0
author,328-author,64|   set([u'hep-th', u'gr-qc'])   0
author,805-author,806|   set([u'hep-th', u'gr-qc'])   0
author,499-author,807|   set([u'hep-th'])   0
author,384-author,382|   set([u'cond-mat', u'hep-th'])   0
author,384-author,14|   set([u'cond-mat', u'hep-th'])   0
author,384-author,383|   set([u'cond-mat', u'hep-th'])   0
author,808-author,586|   set([u'hep-th'])   0
author,421-author,191|   set([u'hep-th'])   0
author,809-author,810|   set([u'hep-th'])   0
author,811-author,812|   set([u'hep-th'])   0
author,811-author,813|   set([u'hep-th'])   0
author,23-author,814|   set([u'hep-th'])   0
author,23-author,815|   set([u'hep-th'])   0
author,709-author,707|   set([u'hep-th'])   0
author,709-author,816|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,709-author,708|   set([u'cond-mat', u'hep-th'])   0
author,817-author,595|   set([u'hep-th'])   0
author,527-author,818|   set([u'hep-th'])   0
author,819-author,12|   set([u'hep-th', u'astro-ph', u'gr-qc'])   0
author,343-author,41|   set([u'hep-th'])   0
author,185-author,186|   set([u'hep-th', u'gr-qc'])   0
author,218-author,94|   set([u'hep-th'])   0
author,218-author,92|   set([u'hep-th'])   0
author,717-author,804|   set([u'cond-mat', u'hep-th'])   0
author,717-author,769|   set([u'hep-th'])   0
author,820-author,821|   set([u'hep-th'])   0
author,782-author,781|   set([u'hep-th'])   0
author,822-author,823|   set([u'hep-th', u'q-alg', u'gr-qc', u'math.QA'])   0
author,781-author,824|   set([u'cond-mat', u'hep-th'])   0
author,481-author,825|   set([u'hep-th', u'hep-lat'])   0
author,623-author,539|   set([u'hep-th'])   0
author,785-author,826|   set([u'hep-th'])   0
author,89-author,88|   set([u'hep-th'])   0
author,30-author,827|   set([u'hep-th'])   0
author,30-author,828|   set([u'hep-th'])   0
author,30-author,791|   set([u'hep-th'])   0
author,829-author,611|   set([u'hep-th'])   0
author,829-author,830|   set([u'hep-th'])   0
author,831-author,832|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,833-author,834|   set([u'hep-th'])   0
author,835-author,836|   set([u'cond-mat', u'hep-th', u'quant-ph'])   0
author,281-author,279|   set([u'hep-th', u'astro-ph', u'gr-qc'])   0
author,837-author,653|   set([u'hep-th', u'hep-ph'])   0
author,837-author,838|   set([u'hep-th'])   0
author,839-author,840|   set([u'hep-th'])   0
author,839-author,188|   set([u'hep-th'])   0
author,841-author,382|   set([u'hep-th', u'hep-ph'])   0
author,842-author,843|   set([u'nlin.SI', u'cond-mat', u'hep-th', u'solv-int'])   0
author,105-author,666|   set([u'hep-th'])   0
author,844-author,845|   set([u'hep-th'])   0
author,846-author,847|   set([u'hep-th'])   0
author,846-author,848|   set([u'hep-th'])   0
author,849-author,561|   set([u'cond-mat', u'hep-th'])   0
author,127-author,792|   set([u'hep-th'])   0
author,127-author,850|   set([u'hep-th'])   0
author,400-author,593|   set([u'hep-th'])   0
author,586-author,601|   set([u'cond-mat.supr-con', u'hep-th'])   0
author,383-author,356|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,851-author,589|   set([u'hep-th', u'hep-ph'])   0
author,453-author,454|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,852-author,673|   set([u'hep-th', u'astro-ph', u'gr-qc'])   0
author,852-author,671|   set([u'hep-th', u'astro-ph', u'gr-qc'])   0
author,3-author,2|   set([u'hep-th'])   0
author,673-author,853|   set([u'hep-th', u'astro-ph', u'gr-qc'])   0
author,673-author,671|   set([u'hep-th', u'astro-ph', u'gr-qc'])   0
author,854-author,855|   set([u'hep-th'])   0
author,856-author,857|   set([u'hep-th'])   0
author,856-author,858|   set([u'hep-th'])   0
author,340-author,737|   set([u'hep-th', u'astro-ph', u'hep-ph', u'gr-qc'])   0
author,340-author,775|   set([u'hep-th'])   0
author,340-author,664|   set([u'hep-th', u'hep-ph'])   0
author,340-author,339|   set([u'hep-th', u'astro-ph', u'hep-ph', u'gr-qc'])   0
author,832-author,814|   set([u'hep-th'])   0
author,639-author,751|   set([u'hep-th'])   0
author,373-author,372|   set([u'hep-th'])   0
author,373-author,374|   set([u'hep-th'])   0
author,859-author,305|   set([u'hep-th', u'hep-ph'])   0
author,800-author,860|   set([u'hep-th', u'gr-qc', u'hep-ph'])   0
author,800-author,861|   set([u'hep-th', u'gr-qc', u'hep-ph'])   0
author,800-author,862|   set([u'hep-th', u'gr-qc', u'hep-ph'])   0
author,58-author,64|   set([u'hep-th'])   0
author,58-author,65|   set([u'hep-th'])   0
author,351-author,352|   set([u'hep-th'])   0
author,863-author,600|   set([u'hep-th', u'gr-qc'])   0
author,863-author,60|   set([u'hep-th'])   0
author,864-author,547|   set([u'cond-mat', u'hep-th'])   0
author,865-author,326|   set([u'hep-th'])   0
author,708-author,707|   set([u'hep-th'])   0
author,708-author,816|   set([u'cond-mat', u'hep-th'])   0
author,708-author,753|   set([u'hep-th'])   0
author,92-author,219|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,92-author,94|   set([u'hep-th'])   0
author,92-author,55|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,866-author,867|   set([u'hep-th', u'hep-ph'])   0
author,868-author,869|   set([u'hep-th', u'math.FA', u'funct-an'])   0
author,870-author,871|   set([u'hep-th', u'quant-ph'])   0
author,870-author,872|   set([u'math-ph', u'gr-qc', u'math.MP', u'q-alg', u'hep-th', u'quant-ph', u'math.QA'])   0
author,873-author,595|   set([u'hep-th'])   0
author,874-author,875|   set([u'hep-th', u'math.QA'])   0
author,840-author,146|   set([u'hep-th'])   0
author,876-author,147|   set([u'hep-th'])   0
author,877-author,878|   set([u'hep-th'])   0
author,877-author,536|   set([u'hep-th'])   0
author,657-author,879|   set([u'hep-th'])   0
author,657-author,880|   set([u'hep-th'])   0
author,657-author,655|   set([u'hep-th', u'hep-ph'])   0
author,813-author,812|   set([u'hep-th'])   0
author,162-author,198|   set([u'hep-th'])   0
author,162-author,700|   set([u'hep-th'])   0
author,162-author,199|   set([u'hep-th'])   0
author,375-author,376|   set([u'hep-th', u'hep-ph'])   0
author,815-author,881|   set([u'cond-mat', u'hep-th'])   0
author,815-author,814|   set([u'hep-th'])   0
author,882-author,119|   set([u'hep-th'])   0
author,882-author,198|   set([u'hep-th'])   0
author,620-author,883|   set([u'hep-th'])   0
author,620-author,884|   set([u'hep-th'])   0
author,830-author,885|   set([u'hep-th'])   0
author,830-author,611|   set([u'hep-th'])   0
author,875-author,470|   set([u'hep-th', u'math.QA'])   0
author,411-author,412|   set([u'hep-th'])   0
author,886-author,872|   set([u'hep-th', u'math.QA'])   0
author,713-author,542|   set([u'hep-th', u'gr-qc'])   0
author,887-author,888|   set([u'hep-th', u'hep-ph'])   0
author,887-author,889|   set([u'hep-th', u'hep-ph'])   0
author,890-author,79|   set([u'hep-th'])   0
author,890-author,77|   set([u'hep-th'])   0
author,890-author,78|   set([u'hep-th'])   0
author,890-author,718|   set([u'hep-th'])   0
author,267-author,374|   set([u'hep-th'])   0
author,267-author,531|   set([u'hep-th'])   0
author,591-author,891|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,588-author,589|   set([u'astro-ph', u'hep-th', u'hep-ph'])   0
author,722-author,725|   set([u'hep-th'])   0
author,780-author,779|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,38-author,79|   set([u'hep-th'])   0
author,38-author,77|   set([u'hep-th'])   0
author,38-author,769|   set([u'hep-th'])   0
author,38-author,41|   set([u'hep-th'])   0
author,38-author,78|   set([u'hep-th'])   0
author,696-author,892|   set([u'hep-th', u'gr-qc'])   0
author,696-author,695|   set([u'hep-th'])   0
author,512-author,511|   set([u'hep-th', u'hep-ph'])   0
author,512-author,513|   set([u'hep-th', u'hep-ph'])   0
author,616-author,691|   set([u'hep-th'])   0
author,511-author,513|   set([u'hep-th', u'hep-ph'])   0
author,777-author,593|   set([u'hep-th', u'hep-lat'])   0
author,893-author,894|   set([u'cond-mat', u'hep-th'])   0
author,376-author,372|   set([u'hep-th'])   0
author,376-author,374|   set([u'hep-th'])   0
author,606-author,216|   set([u'nlin.SI', u'hep-th', u'solv-int'])   0
author,705-author,98|   set([u'hep-th', u'gr-qc'])   0
author,775-author,664|   set([u'hep-th'])   0
author,895-author,896|   set([u'hep-th'])   0
author,897-author,898|   set([u'hep-th', u'gr-qc'])   0
author,422-author,608|   set([u'hep-th'])   0
author,881-author,843|   set([u'nlin.SI', u'cond-mat', u'hep-th', u'solv-int'])   0
author,628-author,152|   set([u'hep-th', u'math.DG', u'math.QA', u'dg-ga', u'q-alg'])   0
author,628-author,191|   set([u'hep-th'])   0
author,899-author,322|   set([u'hep-th'])   0
author,724-author,726|   set([u'cond-mat', u'hep-th'])   0
author,724-author,65|   set([u'hep-th'])   0
author,478-author,60|   set([u'hep-th'])   0
author,478-author,476|   set([u'hep-th'])   0
author,478-author,164|   set([u'hep-th'])   0
author,203-author,900|   set([u'hep-th', u'hep-ph'])   0
author,287-author,901|   set([u'hep-th'])   0
author,287-author,902|   set([u'hep-th'])   0
author,275-author,133|   set([u'hep-th'])   0
author,754-author,767|   set([u'hep-th', u'math.FA', u'gr-qc', u'funct-an'])   0
author,297-author,903|   set([u'hep-th'])   0
author,297-author,516|   set([u'hep-th'])   0
author,904-author,905|   set([u'hep-th', u'gr-qc'])   0
author,904-author,64|   set([u'hep-th', u'gr-qc'])   0
author,60-author,62|   set([u'hep-th'])   0
author,60-author,164|   set([u'hep-th'])   0
author,120-author,191|   set([u'hep-th'])   0
author,120-author,199|   set([u'hep-th'])   0
author,235-author,236|   set([u'hep-th'])   0
author,79-author,374|   set([u'hep-th'])   0
author,79-author,719|   set([u'hep-th'])   0
author,79-author,77|   set([u'hep-th'])   0
author,79-author,530|   set([u'hep-th'])   0
author,303-author,198|   set([u'hep-th'])   0
author,867-author,906|   set([u'astro-ph', u'hep-th', u'hep-ph'])   0
author,907-author,908|   set([u'hep-th', u'astro-ph', u'gr-qc'])   0
author,658-author,655|   set([u'hep-th', u'hep-ph'])   0
author,612-author,133|   set([u'hep-th'])   0
author,612-author,767|   set([u'hep-th'])   0
author,741-author,742|   set([u'hep-th'])   0
author,741-author,909|   set([u'hep-th'])   0
author,910-author,653|   set([u'hep-th'])   0
author,911-author,912|   set([u'hep-th', u'hep-ph'])   0
author,913-author,914|   set([u'hep-th', u'math.QA'])   0
author,78-author,718|   set([u'hep-th'])   0
author,289-author,290|   set([u'cond-mat', u'hep-th'])   0
author,857-author,915|   set([u'cond-mat', u'hep-th'])   0
author,857-author,858|   set([u'hep-th'])   0
author,905-author,64|   set([u'hep-th', u'gr-qc'])   0
author,814-author,916|   set([u'hep-th'])   0
author,814-author,725|   set([u'hep-th'])   0
author,332-author,739|   set([u'hep-th'])   0
author,332-author,738|   set([u'hep-th'])   0
author,428-author,430|   set([u'hep-th'])   0
author,428-author,429|   set([u'hep-th'])   0
author,917-author,611|   set([u'hep-th'])   0
author,700-author,745|   set([u'hep-th'])   0
author,159-author,630|   set([u'hep-th'])   0
author,159-author,918|   set([u'hep-th'])   0
author,159-author,41|   set([u'hep-th'])   0
author,181-author,133|   set([u'hep-th'])   0
author,919-author,845|   set([u'hep-th'])   0
